duplicate_url,duplicate_job_id,original_job_id,original_url,similarity
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_1500_3000.mp4?cb=1734241080000,url_6889,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.998131
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1280_720_1500_2997.mp4?cb=1734241200000,url_6890,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.995525
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1280_720_1500_3000.mp4?cb=1734195360000,url_6895,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.999242
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1024_576_1200_3000.mp4?cb=1734195360000,url_6843,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.999876
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1024_576_1200_2997.mp4?cb=1734241200000,url_6860,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.995815
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_640_360_600_3000.mp4?cb=1734195360000,url_6840,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.996183
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_640_360_600_2997.mp4?cb=1734241200000,url_6893,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.994403
https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_640_360_600_3000.mp4?cb=1734241080000,url_6976,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.996183
https://cdn.flashtalking.com/196499/HS_15s_South_Apr23_1920_1080_2500_3000.mp4?cb=1722243780000,url_0000,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.989805
https://cdn.flashtalking.com/196499/HS_15s_North_Apr23_1280_720_1500_2997.mp4?cb=1722242820000,url_0038,url_6864,https://cdn.flashtalking.com/211217/HS_CoolMen_GO_SEandOthers_15s_1920_1080_2500_3000.mp4?cb=1734195360000,0.986746
